locale|de

HEVLIB_MOD_BRIEF|Mod-Bibliothek für die meistgenutzten Funktionen erstellt von __hev

HEVLIB_MOD_DESCRIPTION|Eine Programmbibliothek beitet eine Reihe von Funktionen für andere Mods duch 'Pointer'-Dateien. \n * Umgang mit Mod-Manifest-Dateien mittels Versionierung, um ein einheitliches Medium zur Abfrage von Informationen daraus zu schaffen.\n * EquipmentTreiber - Hinzufügen und verwalten von Ausrüstungs-Items\\-Plätzen und mehr...\n * WaffenPlatzTreiber - Hinzufügen und verwalten von Ausrüstung für die Befestigungen.\n\nDiese Bibliothek verfolgt außerdem das Ziel, eine konsistente Vorgehensweise beizubehalten, um Modding zu erleichtern. Die Kompatibilität mit Mods ist ebenfalls ein zentraler Schwerpunkt der bereitgestellten Funktionalität.\n\nWeitere Informationen findest du im Wiki dieses Mods. Wenn du Vorschläge oder Ideen hast, hinterlasse sie bitte im Discord oder als GitHub-Issue.

HEVLIB_MOD_ERROR_HEADER|%s MOD ISSUES

HEVLIB_MOD_ERROR_DEPENDANCY_DIALOGUE_BOX|Es gibt aktuell %s ubefriedigte Mod-Abhängigkeiten. Stelle sicher dass die Vorraussetzungen vorhanden sind, oder entferne die Mods: %s

HEVLIB_GENERIC_ERROR_DIALOGUE_BOX|Etwas ist schief gelaufen. Bitte das Spiel neustarten!

EVENTDRIVER_MENU|EventDriver Debug Menü

EVENTDRIVER_EVENTS|Ausgewähltes Event

EVENTDRIVER_TIMER|Storyteller Event Timer

EVENTDRIVER_SPAWNNOW|Erzwinge aktuell gewähltes Event zu starten

EVENTDRIVER_EVENT_SELECTOR|Event Selektor

EVENTDRIVER_CLEAREVENT|Ausgewählte(s) Event(s) bereinigen

HEVLIB_MISSING_DOCUMENTATION_1|!!!!! Für dieses Feature wurde keine Dokumentation bereitgestellt!

HEVLIB_MISSING_DOCUMENTATION_2|!!!!! Bitte teile es mir (__hev) ASAP mit, da Dokumentationen der Schlüssel für Bibliotheken wie diese sind, um Instandhaltung zu wahren!

HEVLIB_DESCRIPTION_PLACEHOLDER|Dieser Mods hat keine Beschreibung. \n\nÜberprüfe die Webseite, wo du den Mod erhalten hast oder frage beim Ersteller nach einer Beschreibung.

