locale|de

HEVLIB_TRANSIT_TIP_1|Mehr Besatzung des gleichen Berufes lässt diese zusammen arbeiten.

HEVLIB_TRANSIT_TIP_2|Abgesehen vom Autopiloten können deine Triebwerke immer noch angesteuert werden, auch wenn Bordcomputer oder HUD nicht mehr online sind.

HEVLIB_TRANSIT_TIP_3|Beim bergen einer Rettungskapsel kann ein freier Halterungsarm diese sicher halten, während dein Frachtraum nicht zugemüllt wird.

HEVLIB_TRANSIT_TIP_4|Eine Beanspruchungsbake kann mehr Aufmerksamkeit erzeugen.

HEVLIB_TRANSIT_TIP_5|Dein Geologe kann einschränken, was deine Ausrüstung erkennen kan. Je strenger die Filter sind, desto weniger werden die Systeme überfordert.

HEVLIB_TRANSIT_TIP_6|Wenn dir Jameson's monatlicher Satz zu wenig ist, kannst du im Ring ein Search-and-Rescue-Schiff aufsuchen, um mehr Versicherung zu erhalten.

HEVLIB_TRANSIT_TIP_7|Eine glückliche Besatzung arbeitet weniger hart und unglücklich fühlen sie sich weniger motiviert.

HEVLIB_TRANSIT_TIP_8|Wenn ein object mit dem Autopiloten auswählt wurde, können mikroseismische Drohnen das Zielobjekt scannen, ansonsten wird das Objekt gescannt, was sich unter der Maus befindet

HEVLIB_TRANSIT_TIP_9|Habitate zahlen immer bessere Preise als den aktuellen  Marktpreis.

HEVLIB_TRANSIT_TIP_10|Zu viele Nanodrohnen genutzt, die unnützes Erz sammeln? Richte deinen Filter im Geologen ein, um nur das zu erhalten, was du möchtest und spare dabei an Drohnen.

HEVLIB_TRANSIT_TIP_11|Probleme mit Mods? Melde es dort, wo du sie herbekommen hast, oder versuche es im Discord für zeitnahen Support. 

HEVLIB_TRANSIT_TIP_12|Hast du einen Vorschlag für einen mods? Betritt den Discord und frage freundlich nach.

HEVLIB_TRANSIT_TIP_13|Möchtest du mehr mods? Schau die dir hier die ganze Liste an: 'https://delta-v.kodera.pl/index.php/Mod_List'

HEVLIB_TRANSIT_TIP_14|Behalte im Hinterkopf, das alles, was Steine zerstören kann, auch andere Schiffe beschädigen kann.

HEVLIB_TRANSIT_TIP_15|Autonome Systeme arbeiten wie vorgesehen, jedoch braucht es Geduld, damit sie arbeiten.

HEVLIB_TRANSIT_TIP_16|Gefallen dir die Mods, die du nutzt? Unterstütze doch die Schöpfer!

HEVLIB_TRANSIT_TIP_17|Mods verhalten sich nach einem Update anders? Schau in das Änderungsprotokoll oder frag den Verfasser.
