locale|en

HEVLIB_TRANSIT_TIP_1|Having multiple crew with the same profession can let them work in tandem.

HEVLIB_TRANSIT_TIP_2|Unlike the autopilot, your thrusters can still operate by using manual input, without needing your computer or HUD to be online. 

HEVLIB_TRANSIT_TIP_3|When rescuing a lifepod, an unused cradle arm can let you get a secure hold on it without clogging your cargo bay.

HEVLIB_TRANSIT_TIP_4|Broadcasting a claim can bring more attention to the area.

HEVLIB_TRANSIT_TIP_5|Your geologist can restrict what your equipment can see. Being more restrictive on the filters can help prevent your ship's systems from being overwhelmed.

HEVLIB_TRANSIT_TIP_6|If you need more insurance and you aren't getting enough from Jameson's monthly allowance, hit up Search and Rescue vessels in the rings.

HEVLIB_TRANSIT_TIP_7|A happy crew will work a little harder, and an unhappy crew will feel less motiated to work.

HEVLIB_TRANSIT_TIP_8|If selecting an object with the autopilot, microseismic drones will scan the target object, otherwise they will scan whatever is beneath the mouse.

HEVLIB_TRANSIT_TIP_9|Habitats will always pay at least a small premium over the market value of a mineral.

HEVLIB_TRANSIT_TIP_10|Using too many nanodrones catching worthless ores? Configure your geologist's filters to catch only what you want and save on drones too.

HEVLIB_TRANSIT_TIP_11|Having problems with your mods? Submit a report on the site you obtained them from, or join the Discord for realtime support.

HEVLIB_TRANSIT_TIP_12|Got a suggestion for a mod? Join the Discord and feel free to ask.

HEVLIB_TRANSIT_TIP_13|Want to find more mods? Check out the entire collection at 'https://delta-v.kodera.pl/index.php/Mod_List'
