locale|uk_UA

HEVLIB_MOD_BRIEF|Мод-бібліотека, що містить кілька загальних функцій, створених __hev

HEVLIB_MOD_DESCRIPTION|Бібліотека, що надає кілька функціональних частин:\n\n * Загальний функціонал через 'pointer' файли.\n * Обробка файлів маніфесту модів через версіонування для створення єдиного середовища отримання інформації з них.\n * EquipmentDriver - Додавання та управління предметами обладнання, слотами тощо...\n * WeaponSlotDriver - Додавання та модифікація обладнання, що додається до кріплень корабля.\n\nЦя бібліотека також має на меті зберегти послідовний метод для полегшення створення модів. Сумісність з модами також є основним фокусом наданого функціоналу.\n\nДля отримання додаткової інформації, будь ласка, перевірте вікі цього мода. Якщо у вас є пропозиції чи ідеї, будь ласка, залиште їх у Discord або як issue на GitHub.

HEVLIB_MOD_ERROR_HEADER|ПРОБЛЕМИ З МОДОМ %s

HEVLIB_MOD_ERROR_DEPENDANCY_DIALOGUE_BOX|Наразі виявлено %s невиконаних залежностей модів. Будь ласка, задовольніть ці вимоги або видаліть моди, які їх потребують: %s

HEVLIB_GENERIC_ERROR_DIALOGUE_BOX|Щось пішло не так. Будь ласка, перезапустіть гру!

EVENTDRIVER_MENU|Меню налагодження EventDriver

EVENTDRIVER_EVENTS|Обрана подія

EVENTDRIVER_TIMER|Таймер подій Storyteller

EVENTDRIVER_SPAWNNOW|Примусовий спаун події з використанням обраної події

EVENTDRIVER_EVENT_SELECTOR|Вибір події

EVENTDRIVER_CLEAREVENT|Очистити обрану подію/події

HEVLIB_MISSING_DOCUMENTATION_1|!!!!! Для цієї функції не надано документації!

HEVLIB_MISSING_DOCUMENTATION_2|!!!!! Будь ласка, повідомте мене (__hev) про це ЯКОМОГА ШВИДШЕ, оскільки документація є ключовою для таких бібліотек, як ця, для належної підтримки!

HEVLIB_DESCRIPTION_PLACEHOLDER|Цей мод не має опису. \n\nБудь ласка, перевірте веб-сторінку або гілку форуму, де ви отримали цей мод, для інформації, або запитайте опис у автора.

HEVLIB_SELF_CHECK_ERROR_MESSAGE|HevLib встановлено неправильно. Будь ласка, перевірте джерело завантаження та переконайтеся, що коренева папка виглядає наступним чином: HevLib.zip/HevLib/\n\nНатискання OK закриє гру та відкриє сторінку останнього релізу у вашому браузері.

HEVLIB_SELF_CHECK_ERROR_HEADER|ПОМИЛКА ЗАВАНТАЖЕННЯ HEVLIB!

HEVLIB_INCORRECT_SHIP|(ПОМИЛКА!) Відсутній тип судна: '%s'\nЦе збереження не може бути відкрито, оскільки активне судно недоступне!\nЩоб завантажити це збереження, будь ласка, перевстановіть мод, що містить цей тип судна!

HEVLIB_SLOT|Слот

HEVLIB_MOD_MENU|Меню модів

HEVLIB_MISSING_MOD_NAME|Назва мода недоступна :(

HEVLIB_MISSING_DESCRIPTION|Цей мод не має опису :( \n\nБудь ласка, перевірте веб-сторінку або гілку форуму, де ви отримали цей мод, для інформації, або запитайте опис у автора.

HEVLIB_AUTHOR|Автор:

HEVLIB_CREDITS|Подяки:

HEVLIB_UNKNOWN|Невідомо

HEVLIB_MM_TOOLTIP_HEADER|Інформація про мод:

HEVLIB_MM_TOOLTIP_ID|ID мода: %s

HEVLIB_MM_TOOLTIP_MV|Версія маніфесту: %s

HEVLIB_MM_TOOLTIP_ZIP|Zip-файл: %s

HEVLIB_MM_TOOLTIP_LIBRARY|Бібліотека: %s \ Завжди відображати: %s

HEVLIB_MM_BUTTON_TOOLTIP_GITHUB|Сторінка мода на Github

HEVLIB_MM_BUTTON_TOOLTIP_DISCORD|Гілка мода в Discord

HEVLIB_MM_BUTTON_TOOLTIP_NEXUS|Сторінка Nexus mods

HEVLIB_MM_BUTTON_TOOLTIP_DONATIONS|Пожертвувати проекту

HEVLIB_MM_BUTTON_TOOLTIP_WIKI|Вікі-сторінка мода

HEVLIB_MM_BUTTON_TOOLTIP_BUGREPORTS|Повідомити про помилку

HEVLIB_MM_BUTTON_TOOLTIP_CUSTOM|Більше...

HEVLIB_VANILLA_DESCRIPTION|Симулятор видобутку на основі фізики, дія якого відбувається в найгустішому полі уламків у Сонячній системі. Кожна дія має протидію, лазери невидимі без середовища, а ваша тяга є потужною зброєю. Знаходьте торгівлю, адаптуйте обладнання до свого стилю гри, наймайте екіпаж для допомоги. Розкривайте таємниці кілець або просто багатійте.

HEVLIB_VANILLA_BRIEF|Оригінальна гра

HEVLIB_MODMENU_MODS|Моди

HEVLIB_MODMENU_OK|Гаразд

HEVLIB_MODMENU_CLOSE|Закрити

HEVLIB_MODMENU_OPENFOLDER|Відкрити папку модів

HEVLIB_MODMENU_MODS_VISIBLE|Відображається %d модів

HEVLIB_DROP_FILES_TO_ADD_MODS|Перетягніть файли у це вікно, щоб додати моди.\nФайли з однаковими назвами будуть перезаписані

HEVLIB_MODMENU_VER_AND_PRIO|Версія: v%s / Пріоритет: %s

HEVLIB_MODMENU_PRIO|Пріоритет: %s

HEVLIB_MODMENU_VERSION|Версія: v%s

HEVLIB_MODMENU_PRIO_MID_HEADER|ID та пріоритет мода

HEVLIB_GITHUB|GitHub

HEVLIB_DISCORD|Discord

HEVLIB_NEXUS|Nexusmods

HEVLIB_DONATIONS|Зробити пожертву

HEVLIB_WIKI|Вікі

HEVLIB_BUGREPORTS|Повідомити про помилку

HEVLIB_GITHUB_TOOLTIP|Репозиторій GitHub для цього проекту

HEVLIB_DISCORD_TOOLTIP|Гілка/канал/сервер Discord для цього проекту

HEVLIB_NEXUS_TOOLTIP|Сторінка Nexusmods для цього проекту

HEVLIB_DONATIONS_TOOLTIP|Пожертвувати цьому проекту

HEVLIB_WIKI_TOOLTIP|Вікі-сторінка(и) для цього проекту

HEVLIB_BUGREPORTS_TOOLTIP|Повідомити про помилку через посилання проекту на звіти

HEVLIB_FILTER_BY_TAGS|Фільтрувати моди за тегами

HEVLIB_SETTINGS_BUTTON_TOOLTIP|Відкрити меню налаштувань

HEVLIB_LINKS_BUTTON|Посилання

HEVLIB_BUGREPORTS_BUTTON|Звіти про помилки

HEVLIB_LINKS_TOOLTIP|Відобразити посилання проекту

TAG_ALLOW_ACHIEVEMENTS|Дозволяє досягнення

TAG_QOL|QoL

TAG_USING_HEVLIB_RESEARCH|Використовує дослідження HevLib

TAG_OVERHAUL|Overhaul

TAG_VISUAL|Visual

TAG_FUN|Fun

TAG_UI|Інтерфейс користувача (UI)

TAG_ADDS_SHIPS|Додає нові кораблі

TAG_ADDS_EQUIPMENT|Додає нове обладнання

TAG_ADDS_GAMEPLAY_MECHANICS|Додає нові ігрові механіки

TAG_ADDS_EVENTS|Додає нові події в кільцях

TAG_HANDLE_EXTRA_CREW|Обробляє додатковий екіпаж

HEVLIB_TAG_FILTER|Фільтрувати моди за тегом

HEVLIB_VANILLA_STEAM_STORE|Steam

HEVLIB_VANILLA_STEAM_STORE_TOOLTIP|Відкриває сторінку гри в Steam

HEVLIB_VANILLA_ITCH_STORE|itch.io

HEVLIB_VANILLA_ITCH_STORE_TOOLTIP|Відкриває сторінку гри на itch.io

HEVLIB_VANILLA_EPIC_STORE|Epic Games

HEVLIB_VANILLA_EPIC_STORE_TOOLTIP|Відкриває сторінку гри в Epic Games

HEVLIB_VANILLA_GOG_STORE|GOG

HEVLIB_VANILLA_GOG_STORE_TOOLTIP|Відкриває сторінку гри в GOG

HEVLIB_CONFIG_SORT_BY_PRICE|Сортувати обладнання за ціною

HEVLIB_CONFIG_SORT_BY_PRICE_TOOLTIP|Примусово сортує обладнання за ціною. Порушить сортування допоміжних (AUX) модулів за типом, але запобігає проблемам з модованим обладнанням.

HEVLIB_CONFIG_SORT_SLOT_BY_TYPE|Сортувати слоти за типом

HEVLIB_CONFIG_SORT_SLOT_BY_TYPE_TOOLTIP|Сортує слоти за подібністю. Запобігає довільному сортуванню модованих слотів.

HEVLIB_CONFIG_USE_LEGACY_EQUIPMENT_HANDLING|Використовувати застарілу обробку обладнання

HEVLIB_CONFIG_USE_LEGACY_EQUIPMENT_HANDLING_TOOLTIP|Вмикає обробку обладнання як до версії 1.7. Використовуйте лише для старих модів, які не працюють з новою системою. Не очікуйте, що це спрацює для більшості модів.

HEVLIB_CONFIG_WRITE_EVENTS|Записувати назви подій

HEVLIB_CONFIG_WRITE_EVENTS_TOOLTIP|Записує до кеш-файлу, розташованого в user://cache/.HevLib_Cache/current_events.txt, який містить усі події, завантажені грою на момент завантаження кілець.

HEVLIB_CONFIG_SHOW_HIDDEN_LIBRARIES|Показувати приховані бібліотеки

HEVLIB_CONFIG_SHOW_HIDDEN_LIBRARIES_TOOLTIP|Робить видимою будь-яку бібліотеку без тегу always display.

HEVLIB_CONFIG_INPUT_DEBUGGER|Налагоджувач вводу

HEVLIB_CONFIG_INPUT_DEBUGGER_TOOLTIP|Відображає інформацію налагодження про поточний ввід.

HEVLIB_CONFIG_EVENT_DEBUGGER|Налагоджувач подій

HEVLIB_CONFIG_EVENT_DEBUGGER_TOOLTIP|Відкриває ключові події та відображає, активні вони чи неактивні.

HEVLIB_CONFIG_POSITION_DATA_DEBUGGER|Налагоджувач даних позиції

HEVLIB_CONFIG_POSITION_DATA_DEBUGGER_TOOLTIP|Відображає поточний хаос та приблизну кількість можливих подій під час занурення.

HEVLIB_CONFIG_SHOW_ACCURATE_EVENTS|Показувати точні події

